index,tweet_id,user_id,id,tweet,url,adr_present,ner
1,344616533332467713,173701851,vyvanse-51b7c4c75378b9555a2f1ab8,"Vyvanse, commonly known as OCD in a pill.",http://twitter.com/173701851/status/344616533332467713,1,"['Vyvanse\tO', ',\tO', 'commonly\tO', 'known\tO', 'as\tO', 'OCD\tB', 'in\tO', 'a\tO', 'pill\tO', '.\tO']"
2,344630199217958912,385562257,vyvanse-51b7d1815378b9555a2f1b0c,@MTV When are you going to do True Life: I am addicted to Vyvanse?,http://twitter.com/385562257/status/344630199217958912,1,"['@\tO', 'MTV\tO', 'When\tO', 'are\tO', 'you\tO', 'going\tO', 'to\tO', 'do\tO', 'True\tO', 'Life\tO', ':\tO', 'I\tO', 'am\tO', 'addicted\tB', 'to\tO', 'Vyvanse\tO', '?\tO']"
3,342117282585133056,1110475417,cymbalta-51aead545378f924d02efd7c,"@upasbook Great read as always. I was on Cymbalta for 5 days. Cold turkey had sweats, migraine, tremors while on & 3 days after.",http://twitter.com/1110475417/status/342117282585133056,1,"['@\tO', 'upasbook\tO', 'Great\tO', 'read\tO', 'as\tO', 'always\tO', '.\tO', 'I\tO', 'was\tO', 'on\tO', 'Cymbalta\tO', 'for\tO', '5\tO', 'days\tO', '.\tO', 'Cold\tO', 'turkey\tO', 'had\tO', 'sweats\tB', ',\tO', 'migraine\tB', ',\tO', 'tremors\tB', 'while\tO', 'on\tO', '&\tO', '3\tO', 'days\tO', 'after\tO', '.\tO']"
9,351446999637299200,1061562434,seroquel-51d09e2a53785f584a9ae686,I wonder if seroquel /then/ food still equals restless legs,http://twitter.com/1061562434/status/351446999637299200,1,"['I\tO', 'wonder\tO', 'if\tO', 'seroquel\tO', '/\tO', 'then\tO', '/\tO', 'food\tO', 'still\tO', 'equals\tO', 'restless\tB', 'legs\tI']"
12,348262745730338817,97567146,rivaroxaban-51c5089353785f584a9a91e5,"Rivaroxaban diary day 22. Last tablet taken Tuesday 18th, 4 days ago. Woken up in pain. Bad fluid retention (uneven) on both legs.",http://twitter.com/97567146/status/348262745730338817,1,"['Rivaroxaban\tO', 'diary\tO', 'day\tO', '22\tO', '.\tO', 'Last\tO', 'tablet\tO', 'taken\tO', 'Tuesday\tO', '18th\tO', ',\tO', '4\tO', 'days\tO', 'ago\tO', '.\tO', 'Woken\tO', 'up\tO', 'in\tO', 'pain\tB', '.\tO', 'Bad\tO', 'fluid\tB', 'retention\tI', '(\tO', 'uneven\tO', ')\tO', 'on\tO', 'both\tO', 'legs\tO', '.\tO']"
13,349644702485716992,50176221,paxil-51ca0f9f53785f584a9ac1a1,Every since I stopped taking that Paxil I haven't been so damn emotional ..... I think!,http://twitter.com/50176221/status/349644702485716992,1,"['Every\tO', 'since\tO', 'I\tO', 'stopped\tO', 'taking\tO', 'that\tO', 'Paxil\tO', 'I\tO', ""haven't\tO"", 'been\tO', 'so\tO', 'damn\tO', 'emotional\tB', '.\tO', '.\tO', '.\tO', '.\tO', '.\tO', 'I\tO', 'think\tO', '!\tO']"
14,344983576493817856,466206030,cymbalta-51b91b005378b9555a2f22cd,"Cymbalta, you're driving me insane.",http://twitter.com/466206030/status/344983576493817856,1,"['Cymbalta\tO', ',\tO', ""you're\tO"", 'driving\tB', 'me\tI', 'insane\tI', '.\tO']"
16,333960519964819458,39386820,venlafaxine-51910097ac6ab35b4d484183,#TwoThingsThatDontMixWell venlafaxine and alcohol- you'll cry and throw chairs at your mom's BBQ.,http://twitter.com/39386820/status/333960519964819458,1,"['#\tO', 'TwoThingsThatDontMixWell\tO', 'venlafaxine\tO', 'and\tO', 'alcohol\tO', '-\tO', ""you'll\tO"", 'cry\tB', 'and\tO', 'throw\tB', 'chairs\tI', 'at\tO', 'your\tO', ""mom's\tO"", 'BBQ\tO', '.\tO']"
18,326665428493557760,23315993,quetiapine-51767682ac6a202953c770ad,"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that BMI thing I'm obese, which I'm clearly not.",http://twitter.com/23315993/status/326665428493557760,1,"['@\tO', 'pseudodeviant\tO', 'i\tO', 'clock\tO', 'in\tO', 'at\tO', '16\tO', 'stone\tI', '(\tO', 'added\tB', '1\tI', 'stone\tI', 'since\tO', 'quetiapine\tO', ')\tO', 'and\tO', 'according\tO', 'to\tO', 'that\tO', 'BMI\tO', 'thing\tO', ""I'm\tO"", 'obese\tO', ',\tO', 'which\tO', ""I'm\tO"", 'clearly\tO', 'not\tO', '.\tO']"
19,343743356163207169,378286503,vyvanse-51b497915378b9555a2f0b54,I really hate the fact that I feel like I need to throw up while at work. Maybe taking my vyvanse wasn't a good idea,http://twitter.com/378286503/status/343743356163207169,1,"['I\tI', 'really\tO', 'hate\tO', 'the\tO', 'fact\tO', 'that\tO', 'I\tI', 'feel\tB', 'like\tI', 'I\tI', 'need\tI', 'to\tI', 'throw\tI', 'up\tI', 'while\tO', 'at\tO', 'work\tO', '.\tO', 'Maybe\tO', 'taking\tO', 'my\tO', 'vyvanse\tO', ""wasn't\tO"", 'a\tO', 'good\tO', 'idea\tO']"
