index,tweet_id,user_id,id,tweet,url,adr_present,ner
723,340558879085703168,494405152,prozac-51a901cc53787e40790df4a0,"Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.”
Easy Ladies!",http://twitter.com/494405152/status/340558879085703168,0,"['Bananas\tO', 'contain\tO', 'a\tO', 'natural\tO', 'chemical\tO', 'that\tO', 'can\tO', 'make\tO', 'a\tO', 'person\tO', 'happy\tO', '-\tO', 'The\tO', 'same\tO', 'chemical\tO', 'found\tO', 'in\tO', 'Prozac\tO', '.\tO', '”\tO', 'Easy\tO', 'Ladies\tO', '!\tO']"
163,352144946549108737,27486225,lamictal-51d3283853785f584a9afb4e,"@Milynda lamictal makes you sleepy at night, but I take it around 10 or so. Once you get in the system, you start falling asleep normally.",http://twitter.com/27486225/status/352144946549108737,1,"['@\tO', 'Milynda\tO', 'lamictal\tO', 'makes\tO', 'you\tO', 'sleepy\tB', 'at\tO', 'night\tO', ',\tO', 'but\tO', 'I\tO', 'take\tO', 'it\tO', 'around\tO', '10\tO', 'or\tO', 'so\tO', '.\tO', 'Once\tO', 'you\tO', 'get\tO', 'in\tO', 'the\tO', 'system\tO', ',\tO', 'you\tO', 'start\tO', 'falling\tO', 'asleep\tO', 'normally\tO', '.\tO']"
158,344384631027675136,715003,tysabri-51b6eccd5378b9555a2f1614,I have put on weight (thanks MS and #Tysabri). Always look on the bright side: time for a @thinkgeek t-shirt spree! #winning,http://twitter.com/715003/status/344384631027675136,1,"['I\tO', 'have\tO', 'put\tB', 'on\tI', 'weight\tI', '(\tO', 'thanks\tO', 'MS\tB', 'and\tO', '#\tO', 'Tysabri\tO', ')\tO', '.\tO', 'Always\tO', 'look\tO', 'on\tI', 'the\tO', 'bright\tO', 'side\tO', ':\tO', 'time\tO', 'for\tO', 'a\tO', '@\tO', 'thinkgeek\tO', 't\tO', '-\tO', 'shirt\tO', 'spree\tO', '!\tO', '#\tO', 'winning\tO']"
591,349173929434312704,19032229,victoza-51c8592e53785f584a9ab43d,"@KellyRawlings so interesting!! Any mention of meds like Symlin, victoza and their impact on lag times, post meal hypers?",http://twitter.com/19032229/status/349173929434312704,0,"['@\tO', 'KellyRawlings\tO', 'so\tO', 'interesting\tO', '!\tO', '!\tO', 'Any\tO', 'mention\tO', 'of\tO', 'meds\tO', 'like\tO', 'Symlin\tO', ',\tO', 'victoza\tO', 'and\tO', 'their\tO', 'impact\tO', 'on\tO', 'lag\tO', 'times\tO', ',\tO', 'post\tO', 'meal\tO', 'hypers\tO', '?\tO']"
240,349785645192982528,495060869,cipro-51ca92e353785f584a9ac471,@CIPROisPOISON You r Right Cipro nearly killed me,http://twitter.com/495060869/status/349785645192982528,1,"['@\tO', 'CIPROisPOISON\tO', 'You\tO', 'r\tO', 'Right\tO', 'Cipro\tO', 'nearly\tB', 'killed\tI', 'me\tI']"
415,331478814888689664,339220082,quetiapine-5187f952ac6a942006b3ce19,"@SpicyNyx I think I'm that too! Had rare breastmilk production on quetiapine, ultra rare hallucinations (not psychosis) on valproate.",http://twitter.com/339220082/status/331478814888689664,1,"['@\tO', 'SpicyNyx\tO', 'I\tO', 'think\tO', ""I'm\tO"", 'that\tO', 'too\tO', '!\tO', 'Had\tO', 'rare\tO', 'breastmilk\tB', 'production\tI', 'on\tO', 'quetiapine\tO', ',\tO', 'ultra\tO', 'rare\tO', 'hallucinations\tB', '(\tO', 'not\tO', 'psychosis\tO', ')\tO', 'on\tO', 'valproate\tB', '.\tO']"
461,352327453202595840,968556180,paxil-51d3d25953785f584a9aff16,PAXIL WHY YOU NOT LET ME SLEEP?!?,http://twitter.com/968556180/status/352327453202595840,1,"['PAXIL\tO', 'WHY\tO', 'YOU\tO', 'NOT\tB', 'LET\tI', 'ME\tI', 'SLEEP\tI', '?\tO', '!\tO', '?\tO']"
808,340555351982219265,288477950,prozac-51a8fe8453787e40790df3c8,"""@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.""",http://twitter.com/288477950/status/340555351982219265,0,"['@\tO', 'UberFacts\tO', ':\tO', 'Bananas\tO', 'contain\tO', 'a\tO', 'natural\tO', 'chemical\tO', 'that\tO', 'can\tO', 'make\tO', 'a\tO', 'person\tO', 'happy\tO', '-\tO', 'The\tO', 'same\tO', 'chemical\tO', 'found\tO', 'in\tO', 'Prozac\tO', '.\tO']"
550,354232354224615425,493123841,fosamax-51dac03553785f584a9b1fb4,"If you or a loved one has experienced severe side effects from the use of Fosamax, contact us toll free. 1.888.520.5202. Habla Espanol.",http://twitter.com/493123841/status/354232354224615425,0,"['If\tO', 'you\tO', 'or\tO', 'a\tO', 'loved\tO', 'one\tO', 'has\tO', 'experienced\tO', 'severe\tO', 'side\tO', 'effects\tO', 'from\tO', 'the\tO', 'use\tO', 'of\tO', 'Fosamax\tO', ',\tO', 'contact\tO', 'us\tO', 'toll\tO', 'free\tO', '.\tO', '1\tO', '.\tO', '888\tO', '.\tO', '520\tO', '.\tO', '5202\tO', '.\tO', 'Habla\tO', 'Espanol\tO', '.\tO']"
599,344240414573879297,473179284,dabigatran-51b6668c5378b9555a2f1389,@ETtube @HeatherM211 Not sure I follow. Are you encouraging antiplatelet use with dabigatran?,http://twitter.com/473179284/status/344240414573879297,0,"['@\tO', 'ETtube\tO', '@\tO', 'HeatherM211\tO', 'Not\tO', 'sure\tO', 'I\tO', 'follow\tO', '.\tO', 'Are\tO', 'you\tO', 'encouraging\tO', 'antiplatelet\tO', 'use\tO', 'with\tO', 'dabigatran\tO', '?\tO']"
174,350636755659141121,1523189252,seroquel-51cdab9d53785f584a9ad59a,"@Glass1ncision It's called Seroquel Prolong (Quetiapine). Apart from the weight gain, I am actually quite happy with it.",http://twitter.com/1523189252/status/350636755659141121,1,"['@\tO', 'Glass1ncision\tO', ""It's\tO"", 'called\tO', 'Seroquel\tO', 'Prolong\tO', '(\tO', 'Quetiapine\tO', ')\tO', '.\tO', 'Apart\tO', 'from\tO', 'the\tO', 'weight\tB', 'gain\tI', ',\tO', 'I\tO', 'am\tO', 'actually\tO', 'quite\tO', 'happy\tO', 'with\tO', 'it\tO', '.\tO']"
1105,348310143181660160,311221245,humira-51c534b853785f584a9a92d5,@jaygascoigne that med didn't help me. I'm on Humira. It works great. With surgery & humira been in remission 5-6yrs.,http://twitter.com/311221245/status/348310143181660160,0,"['@\tO', 'jaygascoigne\tO', 'that\tO', 'med\tO', ""didn't\tO"", 'help\tO', 'me\tO', '.\tO', ""I'm\tO"", 'on\tO', 'Humira\tO', '.\tO', 'It\tO', 'works\tO', 'great\tO', '.\tO', 'With\tO', 'surgery\tO', '&\tO', 'humira\tO', 'been\tO', 'in\tO', 'remission\tO', '5\tO', '-\tO', '6yrs\tO', '.\tO']"
227,349892793587613697,52850909,paxil-51caf6ad53785f584a9ac64f,@RogerBezanis: Any ideas on treating depression naturally Paxil is making me gain unwanted pounds and water weight...Thanks,http://twitter.com/52850909/status/349892793587613697,1,"['@\tO', 'RogerBezanis\tO', ':\tO', 'Any\tO', 'ideas\tO', 'on\tO', 'treating\tO', 'depression\tB', 'naturally\tO', 'Paxil\tO', 'is\tO', 'making\tO', 'me\tO', 'gain\tB', 'unwanted\tI', 'pounds\tI', 'and\tO', 'water\tB', 'weight\tI', '.\tO', '.\tO', '.\tO', 'Thanks\tO']"
1076,339919101424177152,47393647,prozac-51a6ae2f5378d08eec90703e,@ATLangela LOLOL!!!  Mine is 6 and I can't imagine that long in the car with her.  Without lots of Prozac and sedatives.,http://twitter.com/47393647/status/339919101424177152,0,"['@\tO', 'ATLangela\tO', 'LOLOL\tO', '!\tO', '!\tO', '!\tO', 'Mine\tO', 'is\tO', '6\tO', 'and\tO', 'I\tO', ""can't\tO"", 'imagine\tO', 'that\tO', 'long\tO', 'in\tO', 'the\tO', 'car\tO', 'with\tO', 'her\tO', '.\tO', 'Without\tO', 'lots\tO', 'of\tO', 'Prozac\tO', 'and\tO', 'sedatives\tO', '.\tO']"
