,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
7502,"If evil had a taste, it would be this vile, nausea-inducing, gag-causing putrid concoction invented by Lucifer. Dear Lord is there nothing else more palatable? I&#039;m dreading the next one at 3:30.",1,0.9969036,0.000798757,-1,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,24-Mar-16,34,9,negative side effects,
7286,"I used this in conjunction with mifepristone and 48 hours later took misoprostol by dissolving 4 pills on the inside on my checks. I started at 4 p.m, waited for the pills to dissolve in my mouth for 30 min and swallowed the rest. I experienced nothing and fell asleep on my couch. I woke up drenched in a cold sweat and mild cramps at 6:15, I got up and immediately threw up. My nausea continued throughout my whole ordeal. By 8pm the pain was excruciating, I felt all my lower torso contorting from my belly button to my upper thighs. The best way I can describe this is full term labor contractions.  I got dizzy and my husband gave me a hot shower. I lost consciousness for a min or 2. By 10pm, I passed the baby and it was smooth sailing again.",1,0.9967332,0.000561847,-1,Misoprostol,Abortion,3-Jul-16,12,9,negative side effects,
41873,I&#039;ve gained alot of weight,1,0.96212643,0.007888536,-1,Levonorgestrel,Birth Control,9-Nov-14,55,9,negative side effects,
41500,"I was in a study of this medication. Half got it and the other half got placebo.  Dose was increased to 20 mg at bedtime. I got dramatically better in every area.  My husband and parents were thrilled because I had previously attempted suicide and had to be hospitalized.  When the study was half way over all of us got Zyprexa and the half that must of have on placebo, because they didn&#039;t get ANY better, all had results like I did.  At the end of the trial.   I stopped it b/c I had gained 6 # in 12 weeks.  A week off it my husband said I had to get back on it since I had was so bad. This is 11 yrs later &amp; my wt is back to normal, still on med.",1,0.9968459,0.000613772,-1,Olanzapine,Borderline Personality Disorde,29-Jan-17,15,10,negative side effects,
29429,I had previously taken Provigil 200mg daily and my prescription ran out for about 2 months.  I was given a sample package of Nuvigil 150mg daily to try for 2 weeks.  I noticed that I only slept about 7 hours in 72hrs (3days).  The Provigil did not do this to me.,1,0.99856,0.000258991,-1,Armodafinil,Shift Work Sleep Disorde,13-Sep-09,21,9,negative side effects,
34736,"Tried this for CS outbreak.  I&#039;ll keep it simple and to the point





Pros:


-Works a lot better than any OTC (throw that junk out waste of $)


-Cheap...compared to other drugs


-Fast acting ...even if caught later will still work


-Can stop/reduce symptoms


-Convenient vs any cream


-Side affects nothing like Famvir





Cons:


-Not as good as Famvir(holy grail to knockout cold sores)


-It appears you need to double the dose to really get an affect


-Maybe slight headache


-You need to take a lot, its not just 3 pills and done...


-no advancement in this drug and its been around for how long??  


-Did get a second outbreak while taking...but cleared up quick.",1,0.91656476,0.041668184,-1,Acyclovir,Cold Sores,16-Jun-16,4,8,negative side effects,
2101,After taking the fifth pill I started getting hit flashes and can&#039;t sleep.  My husband and I are praying for a baby within the next month or so.,1,0.78215677,0.010319119,-1,Clomiphene,emale Infertility,28-Nov-16,4,8,negative side effects,
50460,"WONDER DRUG. 

My story may be different, I was going to the ER it seemed like every other day for high BP 200/something,  pulse high, they would run test EKG, blood work, give me Ativan and send me home. Later my Dr put me on a BP pills and my Psychologist put me on  Ativan and another anxiety medication, took it for a few years then got off, I was doing better, ... Life was great. Then it happened again

I went to the ER three days straight, once I even called the ambulance. The ER Dr. made me an appt with my Psychologist that day,  my Psyc told me about this medication, my last reading for my BP was 139/91 but the week before it was 176/109 and no panic attacks I take 60mg x2 a day.",1,0.998841,0.000673133,-1,Propranolol,Panic Disorde,16-Jun-17,3,10,another drug mentioned,
8454,"My doctor explained everything and I read a brochure before receiving the implant. It&#039;s a personal decision I made and when going into it I knew that every women reacts to it physically and mentally differently! I wish there was a way they could tell you how your body would react to it before hand but they can&#039;t lol! I recommend giving it a try but it&#039;s not for me , I had it removed 6 months in. The number one reason why was because I bled since the day I got it put In, and that is just NO way to live . I had happy moments and really angry moments on it , I started getting acne on my face which I&#039;m not use to , my anxiety was off the roof and I gained at least 15 pounds which I didn&#039;t need considering I just had a baby at the time!",1,0.996669,0.000291069,-1,Etonogestrel,Birth Control,17-Jul-17,8,10,negative side effects,
7795,"Depakote was started three months ago when we exhausted all efforts with every other preventive med for migraines and headaches . I have been

Experiencing these my entire life. Since  6 years old . Now 35., imitrex was used to try to knock off the migraine but insurance only provides nine pills a month so I found myself breaking them just to get through a day .And if over used they will no longer work. So I&#039;m adding in aspirin all that junk. Ending up in ER. Just to go back the next two days because the stubborn migraine would come back , or laying in bed holding my head with ice. needless to say , on a small dose 250 a day . Wow few headaches a week I can deal with. Weight gain well now I can workout no real excuse there.",1,0.9857507,0.01309034,-1,Divalproex sodium,Migraine Prevention,1-Mar-17,4,8,negative side effects,
