,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
8123,"Im 13, and started using Clindamycin topical about a year and a month ago. My daily routine is using a cleanser to wash my face, apply the clindamycin topical in the morning and the moisturize. At night, its the same routine except a different topical. I am also taking an antibiotic twice a day every day. Last year, my acne WAS TERRIBLE. I was so insecure about it. The topicals and antibiotics helped, but very slowly. It&#039;s been over a year and my acne is still very bad. I have not missed one day of doing my routine morning and night, so I am growing impatient. I have done it for over a year and its so little improving my face. I also get chemcial peels every month to help the breakouts coming in. Terrible.",-1,0.001794963,0.947136,1,Clindamycin,Acne,31-May-16,14,2,another drug mentioned,
18763,Switched from Lexapro to generic escitalopram. Big mistake. Suicidal after 3 weeks. No problems for many years prior.,-1,0.005034062,0.99412435,1,Escitalopram,Depression,24-Mar-15,9,1,another drug mentioned,
49476,This pill made me have 2 full cycles each month. With lots of cramping. NOT an equivalent generic.,-1,0.000152605,0.99919385,1,Ethinyl estradiol / levonorgestrel,Birth Control,22-Dec-16,1,1,wrong prediction,not immediately clear why predicted positive
24920,"I have used fillers off and on for 36 years.  Collagen, Restylane, Radiesse, Juvederm,  Voluma, and more to fill acne scars and laser burn scars above my lip caused by a quack.  I&#039;ve always had at least a modicum of improvement and sometimes even  success with these various fillers.  However, when I finally decided after two years of research to go ahead and have Bellafill injected to one area of my face where there are acne scars, I wound up with absolutely no visible or palpable evidence that Bellafill was even in my face. A total rip-off. Utterly useless material. In fact, the acne scars are even more evident after this bizarre injection episode.  Just because the FDA approves something doesn&#039;t mean it has any merit.",-1,9.04E-05,0.9996445,1,Dermal filler,acial Wrinkles,2-Nov-17,0,1,another drug mentioned,
41339,I have had a good experience with this medication... Gain a little weight but nothing major.,-1,7.64E-05,0.9996761,1,Loestrin 24 Fe,Birth Control,20-Oct-09,6,1,mislabeled by reviewer,
32633,"I wanted so badly for this stuff to work. I&#039;m a 59 year old woman. I&#039;ve had thin hair all my life but still had a full head of hair. When my hair started getting noticeably thinner with balding patches  I was desperate to do something about it. My biggest fear starting it was the warning of initial dread shed. I haven&#039;t got enough hair to spare. Well the shed never happened and after a full year of faithful application, nothing else did either so I give up. Also worth noting I had terrible bouts of nausea and vomiting which has ceased since I quit the minoxidil. That&#039;s no way to live. This is not usually talked about as a side effect but I can only associate it with the use of minoxidil since I no longer have it.",-1,0.009852798,0.9898858,1,Minoxidil,Alopecia,8-Dec-16,20,1,wrong prediction,not immediately clear why predicted positive
44377,I began taking 25 mg of topamax once daily due to my migraines lingering 2-3 days at a time. Topamax did a NUMBER on my body. I completely stopped eating. Every time I tried to eat I took ONE BITE and would gag. I felt so extremely full constantly eventhough I knew I had not eaten. Topamax completely destroyed my appetite and although I&#039;ve been off of the medication for 6 months I still never crave ANYthing. I eat when I&#039;m hungry but I no longer have any cravings. While taking this medication I lost a lot of my memory. I was constantly hazy or confused and I felt like I was always searching for my task. I became malnourished and confused that I quit taking the medicine completely. I would never recommend this medication bc of side effects!,-1,0.012607878,0.65866745,1,Topiramate,Migraine Prevention,28-Oct-16,28,1,stopping drug reduced side effects,
41269,"Insertion process was extremely painful (broken many bones and this tops the charts). It was the last day of my period and I had even taken 800mg of ibuprofen beforehand. NP also put lidocaine on my cervix prior to insertion. Drove home after appnt without much discomfort. Light cramping and lethargic the rest of the day and went to bed early. Woke up 2 hrs later with excruciating cramps and could not sleep the rest of the night. Little to no side effects 2 wks following, at which time I started my period again. Cramping became more severe and bleeding proceeded for 10+ days with sharp stabbing pain in cervix (like insertion pain). Couldn&#039;t take the pain after 1 wk of persistent symptoms and had IUD removed. Also gained 8 lbs in &lt;3 wks.",-1,0.000259759,0.9918826,1,Skyla,Birth Control,5-Aug-16,5,3,mixed sentiment,
15713,"I started Allegra-D 12 hour in 1999 for allergies that left me with migraines &amp; a neck so stiff that I could barley turn my head. Allegra-D 12 hour was a miracle &amp; one tablet a day brought me back to fully functional.



It worked great for 15 years. But in summer of 2015, something changed. I would get a box that didn&#039;t work as well, then a box that worked just fine.  I emailed the manufacturer to ask if they had changed binders / fillers that might make it harder to metabolize the active ingredients. Of course they said &quot;no&quot;. 



 Since summer of 2015, Allegra-D has been about as effective as taking a sugar pill. Don&#039;t waste your money. Email the company, demand they go back to the old formulation.",-1,0.00024087,0.99762803,1,Fexofenadine,Allergic Rhinitis,20-Aug-16,8,1,mixed sentiment,reviewer percieves difference in mfg formulation
29968,Knowing coal tar based products as most recommended I tried PsoriasinGel .75 gr pack with 1.25% coaltar- my skin got so dry it looked like a coat of gray paint- DID NOT RELIEVE ITCH at all - shall be happy to give this to someone for whom it may work - but cannot recommend based on my experience,-1,0.02915468,0.92106116,1,Psoriasin,Psoriasis,20-Jan-16,2,1,mixed sentiment,happy was used to express desire to be rid of the medicine
20745,"I&#039;ve had acne since 5th grade and at first it was on my forehead, then it spread to my chin and nose and I&#039;m in 9th grade now. I have acne mostly on my cheeks and nose. I have a lot of scars on my cheeks and I tried Epiduo a year ago and it did not work for me at all. It made my skin red and dry and did not clear it. But my brother has had acne since the fourth grade and has tried everything from Proactive to Clearsil, Clean and Clear. Everything. He uses Epiduo and it has completely. COMPLETELY. Cleared his skin. He uses Neutrogena face bar, a moisturizer and Epiduo in the morning and at night. After 8 years of acne Epiduo has been the only thing to help him. I&#039;m still trying to find something to clear my skin, hope this helped.",-1,0.003961945,0.99340457,1,Epiduo,Acne,14-Jul-14,23,2,mislabeled by reviewer,drug works for family member
6116,I would like my LEXAPRO over this medication any day now please!,-1,0.00019561,0.9934995,1,Vilazodone,Major Depressive Disorde,9-May-16,0,1,another drug mentioned,
18433,Well I been on this medication since I was 9 to about 13 years on age and I was wondering was that a to long amount of years on medication I&#039;m 19 now,-1,0.000206132,0.9971312,1,Strattera,ADHD,27-Dec-16,0,3,no pertinent review content,
44664,"After being on Ambien for years, at least years, for sleep, I decided I hated the mental fog.  My doctor prescribed Remeron. After several months of weight gain, I decided I had to lose the weight. I&#039;m 6&#039;5&quot; and I went from 310 LBs to 360 LBs in a matter of three months. Crazy, I know!

What I couldn&#039;t figure out was why I had an insatiable hunger. How bad was it? Usually, when I go out for wings, I order a ten piece. If I share an appetizer, I only eat 4; take 6 home for the next day. A few weeks ago, even after sharing an appetizer, I ate all ten wings, and when I got home I ate my wife&#039;s leftovers! So I ran out of Remeron and didn&#039;t get it refilled. After four days of being off it, my appetite is normal. Awful RX!!!",-1,8.82E-05,0.99922955,1,Mirtazapine,Insomnia,21-May-17,6,1,another drug mentioned,
36116,"CURRENTLY on rifampin therapy along with ethambutol, zithromax, IV amikacin and prilosec for the MAC. experiencing numerous side effects to include diarrhea, nausea, intermittent episodes of severe vomiting, extreme fatigue,  headaches (almost all the time), dizziness, double vision, generalized body aches, and severe cramps in my extremities. It is hard to tell which drug is the culprit.  I have experienced two incidences of elevated liver enzymes, which have returned back to within normal limits so far. At this point in my therapy, there has been no documented improvement, but I am told to expect it to take up to two years of therapy for a cure.  I will update my experience as time progresses.",-1,0.004700807,0.9578523,1,Rifampin,"Mycobacterium avium-intracellulare, Treatment",7-Feb-13,5,3,mixed sentiment,word improvement was used
8386,"I was on asacol for 10 years with no flare ups and leading a normal life. Then 2 years ago my insurance (BCBS) stopped covering it. My Doctor changed me to Lialda and I have had a nothing short of continuous colitis hell flare up for 2 years straight. 20 diarrheas a day. Stomach cramps, weight loss, explosive uncontrolled bm. My Doctor refused to write a letter of medical necessity to my insurance company so I could get back on asacol. So I was on continuous steroids which caused diabetes.

  Finally to the point of starting humira which caused e coli, c diff, nor ovirus. Recent hospitalization which I was able to get back on asacol while in the hospital. Now discharged and unable to get asacol approved for use outside of hospitalization. ",-1,0.001139029,0.9974445,1,Lialda,"Ulcerative Colitis, Active",8-Sep-17,2,1,another drug mentioned,
10245,Can&#039;t get hard or stay hard when on this medication.....,-1,0.000248709,0.9958956,1,Gabapentin,Epilepsy,1-Feb-17,4,1,wrong prediction,not immediately clear why predicted positive
23804,"Although cipram initially seemsd to help me over a bad patch ( divorce )  I  lost my ability to enjoy sex , achieve orgasm Previously enjoyed a happy active fulfilling and pleasurable sex life. When I was ready to date again and have new boyfriends this was frustrating and caused deeper unhappiness and sadness .. I&#039;m hoping my pleasure will return .. Wish I&#039;d never taken it !",-1,0.000215003,0.99543947,1,Citalopram,Depression,14-Aug-16,7,1,mixed sentiment,enjoy happy fulfilling pleasurable
37754,"Nightmares,  didn&#039;t help with pain.",-1,0.16381748,0.8341909,1,Cymbalta,Chronic Pain,16-Nov-15,15,3,mixed sentiment,help
7767,"I started out with Primidone at 50mg at night, but I couldn&#039;t shake off the side effects until about 9 am the next morning. Tired, disoriented, lethargic and dizzy. Couldn&#039;t take it during the day when I needed it the most, so it was basically useless for me. Dr. changed this to Topiramate which works much better. No apparent side effects and I worked up from 50mg a day to 150 mg in the morning, with another 50 in the mid afternoon to keep the calmness going. I have to write a lot in my job and although it takes about 2 hours to achieve full effect, the Primidone keeps the shakes away for a good 5 hours.",-1,0.000311433,0.99585646,1,Primidone,Benign Essential Trem,16-Feb-16,23,3,another drug mentioned,
46961,"On phenobarbital from age of 2 to 8, because I passed out in the high chair, probably hyperventilated.  I was giving dose before bed every night. I couldn&#039;t fall asleep till nearly morning.  As an adult,  on meth for 20 years. I don&#039;t know if there is a connection or not, but no one else in my family is an addict. I don&#039;t mean to whine, just telling my experience.",-1,0.000165003,0.9960614,1,Phenobarbital,Seizures,24-Jan-17,2,2,wrong prediction,not immediately clear why predicted positive
35844,It helped me have a stroke faster while I was active and out going left me in a wheelchair with double the pain between my affected side and my back. NO good. Changed my life and my family lives also,-1,0.000186629,0.9986092,1,Coumadin,Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,6-Apr-17,6,3,mixed sentiment,helped good
11822,"I changed doctors yesterday because my doctor has gotten older and forgetful. My new Doc is 30ish and a woman. I have had sleeping problems most of my life. I am 56. Two years ago my insomnia got so bad I was going 4 and 5 nights with no sleep. Old Doc had me on as many as 4 sleep medicines at one time.  Finally I worked out by problem by taking 3 mg Melatonin about 8:00  taking a hot bath, laying in bed watching boring TV, 9:00 taking 3 Valerian root supplements, just as I was going to bed taking 1 1/2 mg Xanax and 2 Tylenol simply sleep. Worked great. Now, new Doc says she will not give me Xanax, said it causes short term memory loss. She said to take 1, 2 or three 50 mg trazadone. I did last night and laid in bed all night trying to sleep.",-1,0.006221543,0.9617491,1,Trazodone,Insomnia,11-Nov-09,29,1,another drug mentioned,
50153,Thought this would be a perfect treatment for newly diagnosed but relatively minor hand PsA for past 13yrs. Did experience some weight loss that I attribute that to frequent and loose bm&#039;s. There was a detectable mood change but again tolerable. My worst problem was muscle spasms that started in one hip migrated to lower back and then to the other hip to the point of not sleeping. I stopped and ramped up slower which seemed to help but starting coming back. Never had any previous problem with side effects of any meds before. I have what should be good benefits working for a world class employer but plan but they would not cough up without trying the immune suppressive stuff first. Currently on sulfasalizine which seems to help enough,-1,0.000239761,0.9934269,1,Otezla,Psoriatic Arthritis,19-Jan-16,11,3,another drug mentioned,
23060,Don&#039;t know much about gabapetin. Dr hesitated putting mr on it. Find relief  taking Hypericum perf. (From St. John&#039;s wort) it is anatural product. When my pain flares up I use it. It usually decreases the pain 50-75 %. It is cheap.,-1,0.000335636,0.98585594,1,Gabapentin,ibromyalgia,29-Sep-16,18,1,another drug mentioned,
43146,"In my opinion this drug is a straight up enabler and the reason I say that is because it allows people to not feel pain from withdrawal. Its kinda like when you burn your self you learn to stay away from fire.  Long time use of this drug is very stupid I personally think it&#039;s bad on your body and the withdrawal is 2 to 3 weeks which really sucks. You don&#039;t want to be bound to something so when you come off of suboxone the cravings for opiates come back.  In my opinion when you decide to quit using opiates do it with no drugs that trick your brain into thinking your on opiates, then you learn how to deal with your addiction while your sober. That way you will know how to beat it. Drs that prescribe this for a long time are all in it for the money sorry",-1,0.000176083,0.9944635,1,Suboxone,Opiate Dependence,9-Nov-15,52,1,mixed sentiment,
