,word
withdrawal,7
pain,6
weight,4
depression,4
sick,4
my,3
back,3
stomach,3
feel,3
zombie,3
headache,3
migraines,2
anxiety,2
lbs,2
mouth,2
sleepy,2
drowsy,2
hungry,2
no,2
mood,2
tired,2
sleep,2
dry,2
nightmares,2
appetite,2
addiction,2
brain,2
gain,2
ache,2
OCD,2
into,1
crohns,1
high,1
cramps,1
withdrawals,1
energy,1
hot,1
fatigue,1
syndrome,1
hurt,1
I,1
Neck,1
irritable,1
stressful,1
shock,1
died,1
irritability,1
lungs,1
crippled,1
tiredness,1
melting,1
ataxia,1
bizarre,1
madness,1
even,1
lightheadeded,1
like,1
loss,1
immune,1
neck,1
fully,1
hallucinate,1
slept,1
havent,1
numb,1
system,1
rheumatoidarthritis,1
10,1
rebound,1
aching,1
zombieish,1
bipolar,1
hives,1
Syndrome,1
legs,1
poisoned,1
liver,1
dreams,1
tolerance,1
Headache,1
weird,1
cold,1
nap,1
Tired,1
thyroid,1
lucidity,1
Numbness,1
connective,1
hyper,1
Ick,1
nausea,1
Aches,1
fuzziness,1
weak,1
to,1
head,1
withdrawls,1
hurting,1
Exhaustion,1
dizziness,1
depressants,1
DIZZING,1
40lbs,1
off,1
Restless,1
poof,1
dont,1
eyes,1
hips,1
headaches,1
sensitivity,1
gained,1
lethargy,1
crabby,1
sun,1
human,1
destroyed,1
vomited,1
PEE,1
memory,1
anaphylactic,1
sluggish,1
shoulder,1
vertigo,1
lose,1
zap,1
groggy,1
allergic,1
shocks,1
bones,1
feeling,1
aches,1
Crying,1
pale,1
addictive,1
stand,1
cant,1
Leg,1
tissue,1
heart,1
anger,1
is,1
wreck,1
zombies,1
Vomits,1
tingling,1
in,1
PAIN,1
dizzy,1
not,1
