,word
my,4
me,3
arthritis,2
out,2
to,2
sclerosis,1
in,1
freaking,1
sore,1
feels,1
sleeping,1
pressure,1
fungal,1
Throbbing,1
bleeding,1
throats,1
mouth,1
delusional,1
spike,1
OACs,1
of,1
on,1
life,1
you,1
eat,1
valproate,1
Not,1
body,1
probs,1
skeletal,1
spirituality,1
UTIs,1
throw,1
ruined,1
couldnt,1
crazies,1
ridiculous,1
blagh,1
pain,1
fucking,1
horrible,1
breastcancer,1
sun,1
scaring,1
have,1
eating,1
sleepy,1
vomiting,1
infections,1
kill,1
bugs,1
can,1
up,1
for,1
dreamy,1
this,1
want,1
no,1
menopause,1
wall,1
gross,1
like,1
abilities,1
deprived,1
cronic,1
