,word
.,337
@,111
I,106
",",104
#,92
to,72
the,70
!,70
a,68
and,63
for,61
:,57
of,54
-,49
in,45
me,44
my,44
on,43
you,41
is,37
?,37
/,35
it,33
with,32
that,29
not,25
),24
(,24
have,23
from,21
like,20
_,20
just,19
&,19
this,19
can,19
Im,18
but,17
day,16
The,16
side,15
was,15
2,15
at,15
its,15
so,15
up,15
be,14
your,14
or,14
i,13
taking,13
trazodone,13
lozenge,13
when,12
some,12
do,12
now,12
chemical,12
what,12
vyvanse,12
Prozac,12
are,12
make,12
1,12
all,11
one,11
effects,11
had,11
about,11
been,11
night,10
if,10
quetiapine,10
know,10
too,10
take,10
Ive,10
off,10
back,10
more,9
as,9
think,9
bad,9
has,9
new,9
seroquel,8
*,8
humira,8
help,8
Cipro,8
It,8
Effexor,8
feel,8
dont,8
cymbalta,8
Humira,8
good,8
nicotine,7
no,7
get,7
Seroquel,7
out,7
person,7
contain,7
found,7
am,7
down,7
than,7
same,7
go,6
happy,6
still,6
Quetiapine,6
they,6
an,6
enbrel,6
does,6
really,6
makes,6
;,6
didnt,6
great,6
diary,6
nothing,6
work,6
You,6
4,6
only,6
So,6
Bananas,6
fluoxetine,6
Paxil,6
doc,6
natural,6
drug,6
Cymbalta,6
bit,5
said,5
need,5
Its,5
meds,5
Can,5
Trazodone,5
Zyprexa,5
may,5
Lamotrigine,5
But,5
ask,5
patients,5
ciprofloxacin,5
though,5
after,5
else,5
Levaquin,5
http,5
got,5
thats,5
medication,4
again,4
10,4
hurts,4
3,4
try,4
<,4
My,4
Dont,4
something,4
probably,4
venlafaxine,4
Id,4
u,4
week,4
paxil,4
morning,4
recommended,4
effect,4
olanzapine,4
til,4
before,4
paroxetine,4
should,4
cause,4
isnt,4
dose,4
years,4
time,4
commercial,4
No,4
Rivaroxaban,4
over,4
Victoza,4
$,4
will,4
months,4
Day,4
mg,4
6,4
right,4
even,3
17,3
lower,3
stay,3
Like,3
use,3
AFib,3
causing,3
rate,3
she,3
were,3
Do,3
pills,3
also,3
FDA,3
kind,3
This,3
Damn,3
ever,3
hope,3
working,3
=,3
since,3
All,3
w,3
If,3
did,3
throat,3
worked,3
similar,3
com,3
which,3
guess,3
Have,3
first,3
her,3
Depression,3
drugs,3
cancer,3
ehraeuropace,3
how,3
tablet,3
Lamictal,3
tonight,3
sucks,3
would,3
Is,3
flashes,3
used,3
effexor,3
bed,3
Things,3
UberFacts,3
free,3
permanent,3
risk,3
give,3
Still,3
high,3
dosage,3
Enbrel,3
Venlafaxine,3
today,3
severe,3
cipro,3
ly,3
things,3
stop,3
thing,3
youre,3
say,3
every,3
stuff,3
until,3
gave,3
being,3
feeling,3
Tysabri,3
without,3
year,3
much,3
fuck,3
lol,3
trying,3
needs,3
And,3
took,3
lamotrigine,3
Or,3
old,3
smart,2
possible,2
50,2
sole,2
MY,2
who,2
friend,2
Going,2
strong,2
hours,2
DONT,2
Glass1ncision,2
Pristiq,2
Uh,2
depression,2
having,2
well,2
baclofen,2
speak,2
Anne,2
treatment,2
going,2
“,2
combo,2
love,2
thanks,2
rivaroxaban,2
Just,2
wait,2
40,2
alternative,2
hot,2
+,2
marrije,2
hell,2
them,2
call,2
doesnt,2
voice,2
alot,2
whole,2
started,2
problem,2
zoloft,2
might,2
already,2
way,2
actually,2
klonopin,2
smoke,2
doctor,2
went,2
experienced,2
sure,2
John,2
NBC,2
gonna,2
almostwell,2
then,2
hard,2
weeks,2
Bron,2
everything,2
absolute,2
Sounds,2
19,2
gives,2
face,2
days,2
customers,2
Think,2
ppl,2
Zoloft,2
starting,2
5202,2
deal,2
weird,2
Somebody,2
x,2
magic,2
hes,2
past,2
im,2
works,2
due,2
recently,2
damn,2
SSRI,2
put,2
usa,2
24,2
Lexapro,2
case,2
we,2
520,2
least,2
